,k,accuracy,precision_micro,precision_macro,precision_weighted,recall_micro,recall_macro,recall_weighted,f1_micro,f1_macro,f1_weighted
0,1,0.94,0.94,0.9426900584795321,0.9407719298245614,0.94,0.9398148148148149,0.94,0.94,0.9407149084568439,0.939843068875327
1,3,0.96,0.96,0.9666666666666667,0.9640000000000001,0.96,0.9583333333333334,0.96,0.96,0.960233918128655,0.9597192982456142
2,5,0.96,0.96,0.9666666666666667,0.9640000000000001,0.96,0.9583333333333334,0.96,0.96,0.960233918128655,0.9597192982456142
3,7,0.98,0.98,0.9824561403508771,0.9810526315789474,0.98,0.9791666666666666,0.98,0.98,0.980238302818948,0.979947689625109
4,9,0.98,0.98,0.9824561403508771,0.9810526315789474,0.98,0.9791666666666666,0.98,0.98,0.980238302818948,0.979947689625109
