,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_kernel,param_gamma,param_coef0,param_degree,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,split6_test_accuracy,split7_test_accuracy,split8_test_accuracy,split9_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_precision_micro,split1_test_precision_micro,split2_test_precision_micro,split3_test_precision_micro,split4_test_precision_micro,split5_test_precision_micro,split6_test_precision_micro,split7_test_precision_micro,split8_test_precision_micro,split9_test_precision_micro,mean_test_precision_micro,std_test_precision_micro,rank_test_precision_micro,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,split6_test_precision_macro,split7_test_precision_macro,split8_test_precision_macro,split9_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_test_recall_micro,split1_test_recall_micro,split2_test_recall_micro,split3_test_recall_micro,split4_test_recall_micro,split5_test_recall_micro,split6_test_recall_micro,split7_test_recall_micro,split8_test_recall_micro,split9_test_recall_micro,mean_test_recall_micro,std_test_recall_micro,rank_test_recall_micro,split0_test_recall_macro,split1_test_recall_macro,split2_test_recall_macro,split3_test_recall_macro,split4_test_recall_macro,split5_test_recall_macro,split6_test_recall_macro,split7_test_recall_macro,split8_test_recall_macro,split9_test_recall_macro,mean_test_recall_macro,std_test_recall_macro,rank_test_recall_macro,split0_test_f1_micro,split1_test_f1_micro,split2_test_f1_micro,split3_test_f1_micro,split4_test_f1_micro,split5_test_f1_micro,split6_test_f1_micro,split7_test_f1_micro,split8_test_f1_micro,split9_test_f1_micro,mean_test_f1_micro,std_test_f1_micro,rank_test_f1_micro,split0_test_f1_macro,split1_test_f1_macro,split2_test_f1_macro,split3_test_f1_macro,split4_test_f1_macro,split5_test_f1_macro,split6_test_f1_macro,split7_test_f1_macro,split8_test_f1_macro,split9_test_f1_macro,mean_test_f1_macro,std_test_f1_macro,rank_test_f1_macro
228,0.0019958972930908202,2.2446827499274865e-06,0.004584026336669922,0.0004876571887102491,0.05,poly,0.01,0.1,2,"{'C': 0.05, 'coef0': 0.1, 'degree': 2, 'gamma': 0.01, 'kernel': 'poly'}",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.35,0.05000000000000002,767,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.35,0.05000000000000002,767,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7833333333333332,0.016666666666666663,761,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.35,0.05000000000000002,767,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,5.551115123125783e-17,767,0.3,0.3,0.3,0.3,0.3,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.35,0.050000000000000044,767,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.17216117216117216,0.018315018315018333,767
229,0.0019000053405761718,0.0003017830535171055,0.004587292671203613,0.0004891055110933429,0.05,poly,0.1,0.1,2,"{'C': 0.05, 'coef0': 0.1, 'degree': 2, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.9,1.0,0.95,0.08062257748298547,234,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.9,1.0,0.95,0.08062257748298547,234,1.0,1.0,1.0,1.0,0.8666666666666667,1.0,1.0,0.8666666666666667,0.9333333333333332,1.0,0.9666666666666666,0.053748384988657,214,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,0.9,1.0,0.95,0.08062257748298547,234,1.0,1.0,1.0,1.0,0.7777777777777778,1.0,1.0,0.8333333333333334,0.8888888888888888,1.0,0.95,0.08031573497111644,358,1.0,1.0,1.0,1.0,0.8000000000000002,1.0,1.0,0.8000000000000002,0.9,1.0,0.95,0.08062257748298543,234,1.0,1.0,1.0,1.0,0.75,1.0,1.0,0.8055555555555555,0.8962962962962964,1.0,0.9451851851851852,0.09000914448285231,360
230,0.0017971038818359376,0.0004044504723230106,0.004586648941040039,0.0004882249226900815,0.05,poly,1,0.1,2,"{'C': 0.05, 'coef0': 0.1, 'degree': 2, 'gamma': 1, 'kernel': 'poly'}",0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.96,0.04898979485566355,126,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.96,0.04898979485566355,126,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.9333333333333332,1.0,0.9683333333333334,0.0390512483795333,142,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.96,0.04898979485566355,126,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.9166666666666666,0.8888888888888888,1.0,0.9638888888888889,0.04487637339278755,126,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.96,0.04898979485566355,126,0.9047619047619048,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,0.9047619047619048,0.8962962962962964,1.0,0.9610582010582011,0.04775008425895406,126
231,0.001896500587463379,0.0005375499220987133,0.004486227035522461,0.0005001592913188643,0.05,poly,10,0.1,2,"{'C': 0.05, 'coef0': 0.1, 'degree': 2, 'gamma': 10, 'kernel': 'poly'}",0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.8,0.9,1.0,0.93,0.06403124237432847,440,0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.8,0.9,1.0,0.93,0.06403124237432847,440,0.9166666666666666,0.9166666666666666,0.9333333333333332,1.0,0.9166666666666666,1.0,1.0,0.8055555555555555,0.9333333333333332,1.0,0.9422222222222223,0.0584364168546876,446,0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.8,0.9,1.0,0.93,0.06403124237432847,440,0.9166666666666666,0.9166666666666666,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,0.8055555555555555,0.8888888888888888,1.0,0.9305555555555556,0.06364688465216448,472,0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.8000000000000002,0.9,1.0,0.93,0.06403124237432845,440,0.9047619047619048,0.9047619047619048,0.8962962962962964,1.0,0.8857142857142858,1.0,1.0,0.8055555555555555,0.8962962962962964,1.0,0.9293386243386245,0.06370955364340279,472
232,0.013265395164489746,0.011283387012797661,0.004387807846069336,0.0004881245857234312,0.05,poly,50,0.1,2,"{'C': 0.05, 'coef0': 0.1, 'degree': 2, 'gamma': 50, 'kernel': 'poly'}",0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,0.95,0.06708203932499368,234,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,0.95,0.06708203932499368,234,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.8055555555555555,0.9333333333333332,1.0,0.9572222222222221,0.061516333272223424,311,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.8,0.9,1.0,0.95,0.06708203932499368,234,0.9166666666666666,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,0.8055555555555555,0.8888888888888888,1.0,0.9527777777777777,0.06460946305340562,235,0.9,0.9,1.0,1.0,1.0,1.0,1.0,0.8000000000000002,0.9,1.0,0.95,0.06708203932499365,234,0.9047619047619048,0.9047619047619048,1.0,1.0,1.0,1.0,1.0,0.8055555555555555,0.8962962962962964,1.0,0.9511375661375661,0.06544334593885615,235
233,0.001898050308227539,0.0003009756330340422,0.004485082626342773,0.0004970065122090257,0.05,poly,0.001,0.1,3,"{'C': 0.05, 'coef0': 0.1, 'degree': 3, 'gamma': 0.001, 'kernel': 'poly'}",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.35,0.05000000000000002,767,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.35,0.05000000000000002,767,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7666666666666666,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7833333333333332,0.016666666666666663,761,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.35,0.05000000000000002,767,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.33333333333333337,5.551115123125783e-17,767,0.3,0.3,0.3,0.3,0.3,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.35,0.050000000000000044,767,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.15384615384615383,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.1904761904761905,0.17216117216117216,0.018315018315018333,767
234,0.0020916223526000976,0.0002925547611018208,0.004487776756286621,0.0004987511125718217,0.05,poly,0.01,0.1,3,"{'C': 0.05, 'coef0': 0.1, 'degree': 3, 'gamma': 0.01, 'kernel': 'poly'}",0.6,0.6,0.6,0.3,0.7,0.7,0.7,0.6,0.7,0.7,0.6199999999999999,0.116619037896906,755,0.6,0.6,0.6,0.3,0.7,0.7,0.7,0.6,0.7,0.7,0.6199999999999999,0.116619037896906,755,0.8095238095238094,0.8095238095238094,0.75,0.7666666666666666,0.8333333333333334,0.8055555555555555,0.8571428571428571,0.75,0.8571428571428571,0.8000000000000002,0.8038888888888888,0.03716701493588289,757,0.6,0.6,0.6,0.3,0.7,0.7,0.7,0.6,0.7,0.7,0.6199999999999999,0.116619037896906,755,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.625,0.10034662148993578,755,0.6,0.6,0.6,0.3,0.7,0.7,0.7,0.6,0.7,0.7,0.6199999999999999,0.116619037896906,755,0.5333333333333333,0.5333333333333333,0.5079365079365079,0.15384615384615383,0.5555555555555555,0.5523809523809523,0.5757575757575758,0.4857142857142857,0.5757575757575758,0.5462962962962963,0.501991156991157,0.1190479238391304,764
235,0.001894998550415039,0.00029979588315068274,0.0044877052307128905,0.000499921348038949,0.05,poly,0.1,0.1,3,"{'C': 0.05, 'coef0': 0.1, 'degree': 3, 'gamma': 0.1, 'kernel': 'poly'}",1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,16,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,16,1.0,1.0,1.0,1.0,0.9166666666666666,1.0,1.0,0.9166666666666666,0.9333333333333332,1.0,0.9766666666666666,0.03590109871423005,16,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,16,1.0,1.0,1.0,1.0,0.8888888888888888,1.0,1.0,0.9166666666666666,0.8888888888888888,1.0,0.9694444444444444,0.04722222222222224,20,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.9,1.0,0.97,0.045825756949558386,16,1.0,1.0,1.0,1.0,0.8857142857142858,1.0,1.0,0.9047619047619048,0.8962962962962964,1.0,0.9686772486772487,0.04803626747778471,20
236,0.002094125747680664,0.00069934405573232,0.0044871091842651365,0.000499847369114442,0.05,poly,1,0.1,3,"{'C': 0.05, 'coef0': 0.1, 'degree': 3, 'gamma': 1, 'kernel': 'poly'}",0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.8,0.9,1.0,0.93,0.06403124237432847,440,0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.8,0.9,1.0,0.93,0.06403124237432847,440,0.9166666666666666,0.9166666666666666,0.9333333333333332,1.0,0.9166666666666666,1.0,1.0,0.8055555555555555,0.9333333333333332,1.0,0.9422222222222223,0.0584364168546876,446,0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.8,0.9,1.0,0.93,0.06403124237432847,440,0.9166666666666666,0.9166666666666666,0.8888888888888888,1.0,0.8888888888888888,1.0,1.0,0.8055555555555555,0.8888888888888888,1.0,0.9305555555555556,0.06364688465216448,472,0.9,0.9,0.9,1.0,0.9,1.0,1.0,0.8000000000000002,0.9,1.0,0.93,0.06403124237432845,440,0.9047619047619048,0.9047619047619048,0.8962962962962964,1.0,0.8857142857142858,1.0,1.0,0.8055555555555555,0.8962962962962964,1.0,0.9293386243386245,0.06370955364340279,472
237,0.12446303367614746,0.07771591454885529,0.004988336563110351,7.590702411112521e-06,0.05,poly,10,0.1,3,"{'C': 0.05, 'coef0': 0.1, 'degree': 3, 'gamma': 10, 'kernel': 'poly'}",1.0,0.8,1.0,0.8,0.9,1.0,1.0,0.8,0.9,0.9,0.9100000000000001,0.08306623862918074,534,1.0,0.8,1.0,0.8,0.9,1.0,1.0,0.8,0.9,0.9,0.9100000000000001,0.08306623862918074,534,1.0,0.8055555555555555,1.0,0.8666666666666667,0.9166666666666666,1.0,1.0,0.8055555555555555,0.9333333333333332,0.9166666666666666,0.9244444444444444,0.07392021057102179,557,1.0,0.8,1.0,0.8,0.9,1.0,1.0,0.8,0.9,0.9,0.9100000000000001,0.08306623862918074,534,1.0,0.8055555555555555,1.0,0.7777777777777777,0.8888888888888888,1.0,1.0,0.8055555555555555,0.8888888888888888,0.9166666666666666,0.9083333333333332,0.08521034250098874,610,1.0,0.8000000000000002,1.0,0.8000000000000002,0.9,1.0,1.0,0.8000000000000002,0.9,0.9,0.9100000000000001,0.0830662386291807,534,1.0,0.8055555555555555,1.0,0.75,0.8857142857142858,1.0,1.0,0.8055555555555555,0.8962962962962964,0.9047619047619048,0.9047883597883597,0.08963855033909857,610
